run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline,v_negative_control,collapse_ratio,baseline_crosses_v1,negative_control_crosses_v1,verdict,parameter_set_id,dataset_version
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,low,r4,-0.0016769563108813,-0.0005335770080076865,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r0,0.0781898593701847,0.024878591617786047,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r0,-0.0525921743988333,-0.016733873672356053,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r0,-0.0350614495992222,-0.011155915781570703,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,mid,r0,0.0191207387806886,0.0060838714302191,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,mid,r0,0.0164818464107766,0.005244223857974374,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,mid,r0,0.0068349135400345,0.002174745217283705,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r1,0.104105996516133,0.033124635255133233,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r1,-0.0464766449646969,-0.014788023397858108,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r1,-0.0309844299764646,-0.009858682265238738,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
