run_id,model_version,parameter_set_id,dataset_version,country_id,policy_id,policy_variant_id,gmi_version,scenario_id,regime_id,endpoint_year,xi,phi_y_nominal,translation_factor,g_ai_level,mfc_gross,mfc_tilde_gross,fs_gross,fs_eff,cost_gross_gdp,cost_net_gdp,v_gross,v_net,crosses_v1,crosses_v1_10,crosses_buffer,debt_guardrail_pass,existence_condition_pass,historical_tax_class,historical_tax_borderline,historical_total_revenue_class,historical_total_revenue_borderline,cell_result_class,endpoint_cost_rule,country_policy_result_class
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,low,r0,2034,0.0,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0033614190395847474,0.04180812309312033,0.04180812309312033,-0.08040109889883769,-0.08040109889883769,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,GMI fixed aggregate endpoint c_2034=c_2024.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,low,r0,2034,0.05,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0033614190395847474,0.04180812309312033,0.04180812309312033,-0.08040109889883769,-0.08040109889883769,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,GMI fixed aggregate endpoint c_2034=c_2024.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,low,r0,2034,0.1,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0033614190395847474,0.04180812309312033,0.04180812309312033,-0.08040109889883769,-0.08040109889883769,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,GMI fixed aggregate endpoint c_2034=c_2024.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,low,r0,2034,0.25,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0033614190395847474,0.04180812309312033,0.04180812309312033,-0.08040109889883769,-0.08040109889883769,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,GMI fixed aggregate endpoint c_2034=c_2024.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,low,r0,2034,0.5,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0033614190395847474,0.04180812309312033,0.04180812309312033,-0.08040109889883769,-0.08040109889883769,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,GMI fixed aggregate endpoint c_2034=c_2024.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,MUT,MUT,,low,r0,2034,0.0,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0008746177454632945,0.0533947932223759,0.0533947932223759,-0.01638020662091023,-0.01638020662091023,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,Endpoint cost scales by WPP eligible-share ratio.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,MUT,MUT,,low,r0,2034,0.05,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0008746177454632945,0.0533947932223759,0.0533947932223759,-0.01638020662091023,-0.01638020662091023,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,Endpoint cost scales by WPP eligible-share ratio.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,MUT,MUT,,low,r0,2034,0.1,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0008746177454632945,0.0533947932223759,0.0533947932223759,-0.01638020662091023,-0.01638020662091023,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,Endpoint cost scales by WPP eligible-share ratio.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,MUT,MUT,,low,r0,2034,0.25,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0008746177454632945,0.0533947932223759,0.0533947932223759,-0.01638020662091023,-0.01638020662091023,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,Endpoint cost scales by WPP eligible-share ratio.,not_feasible
official_4c_tierA_baseline_official_v2,deterministic-engine-v1_official-runner,baseline-official-v2,v1.0.1-official-4c,PER,MUT,MUT,,low,r0,2034,0.5,0.0004999999999999449,0.6015192506391475,0.0030116700554381204,0.09816536394171499,0.09816536394171499,0.00029564168706444806,-0.0008746177454632945,0.0533947932223759,0.0533947932223759,-0.01638020662091023,-0.01638020662091023,False,False,False,False,True,fiscally_ordinary,False,fiscally_ordinary,False,not_feasible,Endpoint cost scales by WPP eligible-share ratio.,not_feasible
