run_id,country_id,policy_variant_id,scenario_id,regime_id,parameter_name,parameter_country_id,parameter_scenario_id,parameter_policy_id,parameter_regime_id,spearman_rho_with_v_gross,abs_spearman_rho,parameter_p10,parameter_p90,v_gross_at_parameter_p10_others_central,v_gross_at_parameter_p90_others_central,tornado_abs_range,parameter_set_id,dataset_version,rank_within_cell
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,phi_raw_stress,,stress,,,0.5393284014451359,0.5393284014451359,0.012476334098722085,0.0176006250274764,7.525629912439752,11.9192065244352,4.3935766119954485,baseline-official-v3,v1.0.1-official-4c,1
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,q_use_target,CHL,,,,0.4743830211513208,0.4743830211513208,0.11175467645341712,0.15158690065862226,7.892271070654689,11.860797273616061,3.968526202961372,baseline-official-v3,v1.0.1-official-4c,2
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,E_prod,CHL,,,,0.44211254574850173,0.44211254574850173,0.09472784279378008,0.1247286547279487,8.207538903583162,11.826563318136689,3.619024414553527,baseline-official-v3,v1.0.1-official-4c,3
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,E_prod_frontier,,,,,-0.44165174381006966,0.44165174381006966,0.12069628939452977,0.163585990418665,9.176969798164615,6.000615202655937,3.176354595508678,baseline-official-v3,v1.0.1-official-4c,4
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,chi_Kbase,CHL,,,,0.11011649115665963,0.11011649115665963,0.6248705357753754,0.7757486717199323,9.743722129335923,10.463165070364736,0.719442941028813,baseline-official-v3,v1.0.1-official-4c,5
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,tau_AI_eff_r4,,,,r4,0.08724047427361896,0.08724047427361896,0.05828877175353316,0.11319218472569177,10.177721448484315,10.749036649697262,0.571315201212947,baseline-official-v3,v1.0.1-official-4c,6
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,lambda_AI_stress,,stress,,,0.07637210955088437,0.07637210955088437,0.07497019647801369,0.12541556544458626,10.185971027423555,10.8207245408837,0.6347535134601454,baseline-official-v3,v1.0.1-official-4c,7
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,psi_shift,CHL,,,,-0.07349847413993896,0.07349847413993896,0.07482357226028323,0.22551273350112164,10.27989679979318,9.64531345973486,0.6345833400583203,baseline-official-v3,v1.0.1-official-4c,8
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,tau_C_relative_delta_r4,,,,r4,0.05386262077850482,0.05386262077850482,0.1989266753320453,0.2997529275256556,10.439571697415095,10.74673039445196,0.30715869703686494,baseline-official-v3,v1.0.1-official-4c,9
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,mpc_W,CHL,,,,0.0504452275218091,0.0504452275218091,0.6607689795727487,0.7856919346470476,9.753660327906523,10.24958591907433,0.495925591167806,baseline-official-v3,v1.0.1-official-4c,10
