run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline_recomputed,v_high_leakage,delta_v,crossing_survives_high_leakage,parameter_set_id,dataset_version
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,GMI:GMI_ideal_aggregate,mid,r0,-0.6119963968804701,-0.6119963968804701,0.0,False,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r4,1.402956888234968,1.3943452390514322,-0.008611649183535741,True,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,CHL,GMI:GMI_ideal_aggregate,stress,r0,3.9019378711381827,3.9019378711381827,0.0,True,baseline-official-v3,v1.0.1-official-4c
