country_id,policy_variant_id,scenario_id,regime_id,requirement_basis,g_ai_required,mfc_required_gross,q_prod_required,historical_total_revenue_class,flags
PER,UBI,low,r2,debt_consistent,2.2473028939818067,80.6082569717303,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r3,baseline,0.0834620906743959,2.6154986409656678,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r3,debt_consistent,0.1587650317663828,4.97530940649242,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r3,baseline,0.3633919353782446,11.38781817517132,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r3,debt_consistent,0.4386948764702315,13.747628940698071,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r3,baseline,0.5258194022181022,16.477899376617554,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r3,debt_consistent,0.6011223433100892,18.837710142144307,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r3,baseline,0.6346592997000723,19.88867667259374,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r3,debt_consistent,0.7099622407920592,22.24848743812049,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r3,baseline,0.9381050828281604,29.39792844145403,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r3,debt_consistent,1.0134080239201473,31.75773920698078,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r3,baseline,2.4970172369658776,78.2504384563138,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r3,debt_consistent,2.5723201780578644,80.61024922184055,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r4,baseline,0.0668291214703286,2.6027482402600315,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r4,debt_consistent,0.1274204909531568,4.962559005786783,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r4,baseline,0.2917157595336423,11.361254840367913,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r4,debt_consistent,0.3523071290164705,13.721065605894662,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r4,baseline,0.4224105573029809,16.451336041814145,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r4,debt_consistent,0.4830019267858091,18.811146807340897,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r4,baseline,0.5104507240850502,19.88017640545665,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r4,debt_consistent,0.5710420935678785,22.2399871709834,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r4,baseline,0.7546683353265649,29.391553241101214,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r4,debt_consistent,0.8152597048093929,31.751364006627963,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r4,baseline,2.0090506392256384,78.24512578935311,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r4,debt_consistent,2.069642008708467,80.60493655487987,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,mid,r0,baseline,0.0930780545727182,0.3049656645066527,,fiscally_demanding,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,mid,r0,debt_consistent,0.1769546915535554,0.5797833371671834,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,mid,r0,baseline,0.4050023484263854,1.3269702604077591,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,mid,r0,debt_consistent,0.4888789854072226,1.6017879330682898,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,mid,r0,baseline,0.5859231660502464,1.919748414431616,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,mid,r0,debt_consistent,0.6697998030310837,2.1945660870921464,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,mid,r0,baseline,0.7069946375039964,2.316433131513287,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,mid,r0,debt_consistent,0.7908712744848335,2.591250804173818,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,mid,r0,baseline,1.0449706775167822,3.4237949914380765,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,mid,r0,debt_consistent,1.1288473144976194,3.698612664098607,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,mid,r0,baseline,2.7813649797830293,9.1130054575043,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,mid,r0,debt_consistent,2.8652416167638664,9.387823130164833,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,mid,r1,baseline,0.0879595921251269,0.3040376146025564,,fiscally_demanding,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,mid,r1,debt_consistent,0.1674657099046527,0.5788552872630872,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,mid,r1,baseline,0.3833397346695761,1.3250368231075584,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,mid,r1,debt_consistent,0.4628458524491019,1.5998544957680891,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,mid,r1,baseline,0.5548333990860108,1.9178149771314152,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,mid,r1,debt_consistent,0.6343395168655366,2.192632649791946,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,mid,r1,baseline,0.6699766182065765,2.315814431577223,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,mid,r1,debt_consistent,0.7494827359861023,2.5906321042377534,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,mid,r1,baseline,0.9903866530299236,3.4233309664860285,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,mid,r1,debt_consistent,1.0698927708094494,3.69814863914656,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,mid,r1,baseline,2.636325874522663,9.11261877004426,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
