run_id,country_id,scenario_id,regime_id,mfc_gross,tax_class,tax_borderline,total_revenue_class,total_revenue_borderline,parameter_set_id,dataset_version
official_4c_tierA_baseline_official_v2,CHL,stress,r3,0.0842157305256738,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,CHL,stress,r4,0.106622741715673,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,low,r0,0.0976167873194511,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,low,r1,0.1033378157311862,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,low,r2,0.1080214433101025,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,low,r3,0.0942931341133119,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,low,r4,0.1173819215557663,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,mid,r0,0.0891126224653829,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,mid,r1,0.0942179579136647,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,mid,r2,0.0986287384548064,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,mid,r3,0.0874569590495911,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,mid,r4,0.1097821135538837,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,high,r0,0.0859243641845317,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,high,r1,0.0909167117265005,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,high,r2,0.0951870488800888,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,high,r3,0.0859012999228145,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,high,r4,0.1083660480686802,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,stress,r0,0.0811501638454694,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,stress,r1,0.0859423848245634,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,stress,r2,0.090012433016294,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,stress,r3,0.0833073815874473,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,stress,r4,0.1058693594071577,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,low,r0,0.1293057836721054,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,low,r1,0.130555751640533,fiscally_ordinary,True,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,low,r2,0.1360942517152969,fiscally_ordinary,True,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,low,r3,0.1196660442238556,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,low,r4,0.147066370600454,fiscally_ordinary,True,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,mid,r0,0.0996944510359932,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,mid,r1,0.1014204647253859,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,mid,r2,0.1058634498915898,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,mid,r3,0.094363472129331,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,mid,r4,0.1170075658078403,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,high,r0,0.0993773434305047,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,high,r1,0.1009594107227522,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,high,r2,0.1053727191580387,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,high,r3,0.0954158173326807,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,high,r4,0.1187592412572416,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,stress,r0,0.0929324928024102,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,stress,r1,0.0944500839088351,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,stress,r2,0.0986047180458325,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,stress,r3,0.0914011399474405,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,stress,r4,0.1145554991629147,fiscally_ordinary,False,fiscally_ordinary,False,baseline-official-v2,v1.0.1-official-4c
