country_id,policy_variant_id,scenario_id,regime_id,v_gross,crosses_v1,cell_result_class
PER,GMI:GMI_loaded_aggregate,stress,r0,0.0898609836624322,False,not_feasible
PER,MUT,stress,r0,0.1169350040245641,False,not_feasible
PER,PBI,stress,r0,0.0820167515983148,False,not_feasible
PER,UBI,stress,r0,0.0312884798510033,False,not_feasible
PER,PEN,stress,r1,1.0926140795425037,True,accounting_feasible_debt_failed
PER,GMI:GMI_ideal_aggregate,stress,r1,0.1512047152864849,False,not_feasible
PER,GMI:GMI_loaded_aggregate,stress,r1,0.1008031435243233,False,not_feasible
PER,MUT,stress,r1,0.1248659489885588,False,not_feasible
PER,PBI,stress,r1,0.0872802401561387,False,not_feasible
PER,UBI,stress,r1,0.0332431234651844,False,not_feasible
PER,PEN,stress,r2,1.15780271593806,True,accounting_feasible_debt_failed
PER,GMI:GMI_ideal_aggregate,stress,r2,0.1642411067301849,False,not_feasible
PER,GMI:GMI_loaded_aggregate,stress,r2,0.1094940711534566,False,not_feasible
PER,MUT,stress,r2,0.1316709453221702,False,not_feasible
PER,PBI,stress,r2,0.0918395423030481,False,not_feasible
PER,UBI,stress,r2,0.0349443725485872,False,not_feasible
PER,PEN,stress,r3,1.0499800745562868,True,accounting_feasible_debt_failed
PER,GMI:GMI_ideal_aggregate,stress,r3,0.1421190880940073,False,not_feasible
PER,GMI:GMI_loaded_aggregate,stress,r3,0.0947460587293382,False,not_feasible
PER,MUT,stress,r3,0.1205053113188051,False,not_feasible
PER,PBI,stress,r3,0.0843887570036208,False,not_feasible
PER,UBI,stress,r3,0.0321698196238365,False,not_feasible
PER,PEN,stress,r4,1.4222907379520815,True,accounting_feasible_debt_failed
PER,GMI:GMI_ideal_aggregate,stress,r4,0.2180661243599288,False,not_feasible
PER,GMI:GMI_loaded_aggregate,stress,r4,0.1453774162399525,False,not_feasible
PER,MUT,stress,r4,0.1591308383170305,False,not_feasible
PER,PBI,stress,r4,0.1101872957625629,False,not_feasible
PER,UBI,stress,r4,0.0417812531704847,False,not_feasible
CHL,PEN,low,r0,-0.0446157845733166,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,low,r0,-2.245607572267461,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,low,r0,-1.497071714844974,False,not_feasible
CHL,MUT,low,r0,-0.0275453695858054,False,not_feasible
CHL,PBI,low,r0,-0.0104571851976836,False,not_feasible
CHL,UBI,low,r0,-0.0031084048057245,False,not_feasible
CHL,PEN,low,r1,-0.0432922126120482,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,low,r1,-2.1997699950107408,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,low,r1,-1.4665133300071609,False,not_feasible
CHL,MUT,low,r1,-0.0264059491031859,False,not_feasible
CHL,PBI,low,r1,-0.0098576297941753,False,not_feasible
CHL,UBI,low,r1,-0.0028752023355602,False,not_feasible
CHL,PEN,low,r2,-0.0427345750286296,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,low,r2,-2.187942300942177,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,low,r2,-1.4586282006281182,False,not_feasible
CHL,MUT,low,r2,-0.0258098333221303,False,not_feasible
CHL,PBI,low,r2,-0.0095008248178992,False,not_feasible
CHL,UBI,low,r2,-0.0027261733902963,False,not_feasible
CHL,PEN,low,r3,-0.0448356898221902,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,low,r3,-2.2431661862078256,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,low,r3,-1.4954441241385503,False,not_feasible
CHL,MUT,low,r3,-0.0278906410928474,False,not_feasible
CHL,PBI,low,r3,-0.0106968251815041,False,not_feasible
CHL,UBI,low,r3,-0.0032153837426812,False,not_feasible
CHL,PEN,low,r4,-0.0408490378423001,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,low,r4,-2.13018523877835,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,low,r4,-1.4201234925189,False,not_feasible
CHL,MUT,low,r4,-0.0240696708001926,False,not_feasible
CHL,PBI,low,r4,-0.0085416953921978,False,not_feasible
CHL,UBI,low,r4,-0.0023427854103024,False,not_feasible
CHL,PEN,mid,r0,0.0324037073756413,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,mid,r0,-0.6119963968804701,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,mid,r0,-0.4079975979203134,False,not_feasible
