run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,channel,channel_contribution_mfc,channel_share_mfc,v_baseline_recomputed,v_without_channel,delta_v,crossing_survives_without_channel,parameter_set_id,dataset_version,diagnostic_block,policy_id,gmi_version,informality_observed,q_bar_baseline,q_bar_no_informality,delta_q_bar,q_prod_baseline,q_prod_no_informality,delta_q_prod,v_no_informality_adoption,baseline_crosses_v1,variant_crosses_v1,crossing_changed,asymmetry_note
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,mid,r0,,,,0.07818985937018477,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.07818985937018477,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,mid,r1,,,,0.1029657343680464,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.1029657343680464,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,mid,r2,,,,0.12087002637210072,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.12087002637210072,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,mid,r3,,,,0.07112555861840597,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.07112555861840597,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,mid,r4,,,,0.17144060151484913,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.17144060151484913,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,high,r0,,,,0.02855624842159968,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.02855624842159968,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,high,r1,,,,0.05068530229110343,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.05068530229110343,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,high,r2,,,,0.06632329452973793,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.06632329452973793,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,high,r3,,,,0.028744404125143792,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.028744404125143792,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,high,r4,,,,0.12079932861002553,,0.0,,baseline-official-v3,v1.0.1-official-4c,informality_adoption_ablation,PEN,,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.12079932861002553,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.
