run_id,run_type,variant_id,variant_family,variant_label,country_id,policy_id,policy_variant_id,gmi_version,scenario_id,regime_id,headline_cell,v_baseline,v_variant,delta_v,abs_delta_v,baseline_cell_result_class,variant_cell_result_class,cambia_clase_celda,baseline_country_policy_result_class,variant_country_policy_result_class,cambia_clasificacion_pais_politica,baseline_reversed_flag,variant_note,parameter_set_id,baseline_parameter_set_id,dataset_version
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,R11_historical_windows,required-MFC plausibility with 2015plus window,PER,PEN,PEN,,stress,r2,True,1.15780271593806,1.15780271593806,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,required-MFC plausibility with 2015plus window; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,R11_historical_windows,required-MFC plausibility with 2015plus window,PER,PEN,PEN,,stress,r4,True,1.4222907379520815,1.4222907379520815,2.220446049250313e-16,2.220446049250313e-16,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,required-MFC plausibility with 2015plus window; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,R11_historical_windows,required-MFC plausibility excluding 2020-2021,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,-0.6119963968804701,0.0,0.0,not_feasible,not_feasible,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,required-MFC plausibility excluding 2020-2021; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,R11_historical_windows,required-MFC plausibility excluding 2020-2021,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,3.901937871138183,-4.440892098500626e-16,4.440892098500626e-16,feasible_cell,feasible_cell,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,required-MFC plausibility excluding 2020-2021; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,R11_historical_windows,required-MFC plausibility excluding 2020-2021,PER,PEN,PEN,,stress,r2,True,1.15780271593806,1.15780271593806,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,required-MFC plausibility excluding 2020-2021; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,R11_historical_windows,required-MFC plausibility excluding 2020-2021,PER,PEN,PEN,,stress,r4,True,1.4222907379520815,1.4222907379520815,2.220446049250313e-16,2.220446049250313e-16,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,required-MFC plausibility excluding 2020-2021; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,R12_non_resource,non-resource plausibility attempted from GRD; unavailable if not clean for all 4 countries,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,,,,not_feasible,not_available_in_snapshot,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,"not_available_in_snapshot: GRD 2025 has resource/non-resource fields, but the general-government total non-resource mapping is not clean for all four countries; PER has no non-null total_non_resource_revenue_inc_sc at general-government level. Non-resource plausibility remains not_available.",baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,R12_non_resource,non-resource plausibility attempted from GRD; unavailable if not clean for all 4 countries,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,,,,feasible_cell,not_available_in_snapshot,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,"not_available_in_snapshot: GRD 2025 has resource/non-resource fields, but the general-government total non-resource mapping is not clean for all four countries; PER has no non-null total_non_resource_revenue_inc_sc at general-government level. Non-resource plausibility remains not_available.",baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,R12_non_resource,non-resource plausibility attempted from GRD; unavailable if not clean for all 4 countries,PER,PEN,PEN,,stress,r2,True,1.15780271593806,,,,accounting_feasible_debt_failed,not_available_in_snapshot,False,fragile_feasibility,fragile_feasibility,False,False,"not_available_in_snapshot: GRD 2025 has resource/non-resource fields, but the general-government total non-resource mapping is not clean for all four countries; PER has no non-null total_non_resource_revenue_inc_sc at general-government level. Non-resource plausibility remains not_available.",baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,R12_non_resource,non-resource plausibility attempted from GRD; unavailable if not clean for all 4 countries,PER,PEN,PEN,,stress,r4,True,1.4222907379520815,,,,accounting_feasible_debt_failed,not_available_in_snapshot,False,fragile_feasibility,fragile_feasibility,False,False,"not_available_in_snapshot: GRD 2025 has resource/non-resource fields, but the general-government total non-resource mapping is not clean for all four countries; PER has no non-null total_non_resource_revenue_inc_sc at general-government level. Non-resource plausibility remains not_available.",baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R13_recycling_mpc_ben,R13_recycling,first-round benefit recycling c_recyc with mpc_ben proxy,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,-0.561462894485319,0.050533502395151,0.050533502395151,not_feasible,not_feasible,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,first-round benefit recycling c_recyc with mpc_ben proxy; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R13_recycling_mpc_ben,R13_recycling,first-round benefit recycling c_recyc with mpc_ben proxy,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,3.9524713735333337,0.0505335023951505,0.0505335023951505,feasible_cell,feasible_cell,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,first-round benefit recycling c_recyc with mpc_ben proxy; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R13_recycling_mpc_ben,R13_recycling,first-round benefit recycling c_recyc with mpc_ben proxy,PER,PEN,PEN,,stress,r2,True,1.15780271593806,1.2078932446912496,0.0500905287531896,0.0500905287531896,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,first-round benefit recycling c_recyc with mpc_ben proxy; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R13_recycling_mpc_ben,R13_recycling,first-round benefit recycling c_recyc with mpc_ben proxy,PER,PEN,PEN,,stress,r4,True,1.4222907379520815,1.4767369648577229,0.0544462269056413,0.0544462269056413,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,first-round benefit recycling c_recyc with mpc_ben proxy; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p10,R14_historical_reduced_form,r0 V with tax historical MFC P10,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,0.804489724412375,1.416486121292845,1.416486121292845,not_feasible,not_feasible,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with tax historical MFC P10; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p10,R14_historical_reduced_form,r0 V with tax historical MFC P10,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,9.573515860550604,5.671577989412422,5.671577989412422,feasible_cell,feasible_cell,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with tax historical MFC P10; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
