run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline,v_negative_control,collapse_ratio,baseline_crosses_v1,negative_control_crosses_v1,verdict,parameter_set_id,dataset_version,diagnostic_block,v_baseline_recomputed,v_no_rent_capture,delta_v,r4_crossing_depends_on_rents,v_high_leakage,crossing_survives_high_leakage
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,low,r4,-0.1149469751141408,-0.0365740375363175,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,low,r4,-0.0766313167427605,-0.0243826916908783,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,low,r4,-0.0147019996084337,-0.0046779089663198,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,low,r4,-0.0062795459963829,-0.0019980373624854,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,low,r4,-0.0016769563108813,-0.0005335770080076,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r0,0.0781898593701847,0.024878591617786,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r0,-0.0525921743988333,-0.016733873672356,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r0,-0.0350614495992222,-0.0111559157815707,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,mid,r0,0.0191207387806886,0.0060838714302191,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,mid,r0,0.0164818464107766,0.0052442238579743,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,mid,r0,0.0068349135400345,0.0021747452172837,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r1,0.104105996516133,0.0331246352551332,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r1,-0.0464766449646969,-0.0147880233978581,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r1,-0.0309844299764646,-0.0098586822652387,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,mid,r1,0.0216762789374418,0.0068969978437314,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,mid,r1,0.018143849607453,0.0057730430569168,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
