country_id,year,coverage_mobile_cellular_pct,coverage_3g_pct,coverage_lte_wimax_pct,speed_fixed_download_mbps,speed_mobile_download_mbps,coverage_lte_normalized,speed_fixed_normalized,speed_mobile_normalized,connectivity_composite,gap_index,normalization_method,benchmark_set_id,benchmark_coverage_lte_pct_mean,benchmark_speed_fixed_mbps_mean,benchmark_speed_mobile_mbps_mean,gap_construction_convention,aipi_overlap_flag,aipi_exclusion_verification,dataset_version,build_id,created_at,created_by_script
PER,2024,95.8,94.27,93.28,247.358,30.884,0.9378998303274053,1.0,0.26685647197581497,0.7349187674344068,0.26508123256559324,relative_to_frontier_benchmark_set_mean_capped_at_1,baseline_oecd_eurostat_ge10_2024,99.45625,201.463,115.73262499999998,excluded_indicators,False,Verified against IMF AIPI note https://www.imf.org/external/datamapper/AIPINote.pdf: AIPI component list does not include mobile-network technology coverage or Ookla measured fixed/mobile download speeds.,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:33.611560+00:00,build_official_4c_anchors.py
CHL,2024,99.0,98.0,96.0,379.415,88.975,0.9652485389304343,1.0,0.7687979081093167,0.9113488156799171,0.0886511843200829,relative_to_frontier_benchmark_set_mean_capped_at_1,baseline_oecd_eurostat_ge10_2024,99.45625,201.463,115.73262499999998,excluded_indicators,False,Verified against IMF AIPI note https://www.imf.org/external/datamapper/AIPINote.pdf: AIPI component list does not include mobile-network technology coverage or Ookla measured fixed/mobile download speeds.,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:33.629561+00:00,build_official_4c_anchors.py
COL,2024,100.0,100.0,100.0,227.198,32.923,1.0,1.0,0.2844746673636756,0.761491555787892,0.23850844421210804,relative_to_frontier_benchmark_set_mean_capped_at_1,baseline_oecd_eurostat_ge10_2024,99.45625,201.463,115.73262499999998,excluded_indicators,False,Verified against IMF AIPI note https://www.imf.org/external/datamapper/AIPINote.pdf: AIPI component list does not include mobile-network technology coverage or Ookla measured fixed/mobile download speeds.,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:33.661562+00:00,build_official_4c_anchors.py
MEX,2024,98.42,97.4,97.4,118.377,43.908,0.9793250801231698,0.5875868025394241,0.37939172294761314,0.6487678685367356,0.3512321314632644,relative_to_frontier_benchmark_set_mean_capped_at_1,baseline_oecd_eurostat_ge10_2024,99.45625,201.463,115.73262499999998,excluded_indicators,False,Verified against IMF AIPI note https://www.imf.org/external/datamapper/AIPINote.pdf: AIPI component list does not include mobile-network technology coverage or Ookla measured fixed/mobile download speeds.,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:33.687561+00:00,build_official_4c_anchors.py
