parameter_set_id,baseline_parameter_set_id,country_id,name,baseline_value_official,robustness_value,delta,source_year,target_year,carried_forward_to_2024,source_id,source_endpoint,robustness_flag
robustness-gmimicro-per-v2,baseline-official-v3,PER,policy_cost_gross_gdp_GMI_ideal_aggregate,0.02787208206208022,0.025716564769700963,-0.0021555172923792554,2024,2024,False,INEI_ENAHO_SUMARIA_2024,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/966-Modulo34.zip,True
robustness-gmimicro-per-v2,baseline-official-v3,PER,policy_cost_gross_gdp_GMI_loaded_aggregate,0.04180812309312033,0.038574847154551443,-0.003233275938568883,2024,2024,False,INEI_ENAHO_SUMARIA_2024,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/966-Modulo34.zip,True
