parameter_set_id,country_id,policy_id,micro_gmi_version,baseline_gmi_version,welfare_concept,welfare_variable,primary_variant,policy_variant_z,poverty_line_variable,poverty_line_value,poverty_line_value_unit,poverty_line_value_statistic,poverty_line_min,poverty_line_max,policy_variant_z_note,survey_year,carried_forward_to_2024,chi_gmi,theta_target,expanded_population_enaho,population_official_cost,population_difference,fgt0_micro,fgt1_micro,pip_harmonized_headcount,pip_harmonized_gap,aggregate_gap_lcu_annual,cost_micro_lcu,cost_micro_gdp,cost_official_aggregate_lcu,cost_official_aggregate_gdp,difference_lcu,difference_gdp,difference_percent_vs_official,gdp_nominal_lcu_2024,source_id,harmonization_note,robustness_flag
robustness-gmimicro-per-v2,PER,GMI,GMI_ideal_microdata_income_pip_ppp_8_30_line,GMI_ideal_aggregate,income,INGHOG2D,True,pip_ppp_8_30_line,PIP_PPP_8_30_constant_lcu_annual,6835.9866112358295,PEN_per_person_per_year,constant,6835.9866112358295,6835.9866112358295,Like-for-like threshold used by the official aggregate GMI cost.,2024,False,1.0,1.0,34482699.311318874,34217849.99999999,264849.3113188818,0.34210874308287076,0.11948283470308899,0.362,0.1305,28164884602.035576,28164884602.035576,0.025716564769700963,30525615762.718506,0.02787208206208022,-2360731160.68293,-0.0021555172923792554,-7.733607010693411,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,"Residual difference reflects raw INGHOG2D versus harmonized PIP/SEDLAC income, including imputations, imputed rents, and treatment of zeros; it is not a z mismatch.",True
robustness-gmimicro-per-v2,PER,GMI,GMI_loaded_microdata_income_pip_ppp_8_30_line,GMI_loaded_aggregate,income,INGHOG2D,True,pip_ppp_8_30_line,PIP_PPP_8_30_constant_lcu_annual,6835.9866112358295,PEN_per_person_per_year,constant,6835.9866112358295,6835.9866112358295,Like-for-like threshold used by the official aggregate GMI cost.,2024,False,1.0,1.4999999999999998,34482699.311318874,34217849.99999999,264849.3113188818,0.34210874308287076,0.11948283470308899,0.362,0.1305,28164884602.035576,42247326903.05336,0.038574847154551443,45788423644.07775,0.04180812309312033,-3541096741.024391,-0.003233275938568883,-7.733607010693399,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,"Residual difference reflects raw INGHOG2D versus harmonized PIP/SEDLAC income, including imputations, imputed rents, and treatment of zeros; it is not a z mismatch.",True
robustness-gmimicro-per-v2,PER,GMI,GMI_ideal_microdata_income_national_line,GMI_ideal_aggregate,income,INGHOG2D,False,national_line,LINEA,5452.630264961402,PEN_per_person_per_year,person_weighted_mean,3792.339111328125,6710.6396484375,GMI at the national poverty line (different policy threshold z).,2024,False,1.0,1.0,34482699.311318874,34217849.99999999,264849.3113188818,0.21501386495562658,0.06361458850096524,0.362,0.1305,11293199006.63808,11293199006.63808,0.010311502703275445,30525615762.718506,0.02787208206208022,-19232416756.080425,-0.017560579358804774,-63.004189352240125,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,Different policy threshold z: retained only to supersede transparently the initial LINEA-based computation; not a like-for-like comparison with the official GMI cost.,True
robustness-gmimicro-per-v2,PER,GMI,GMI_loaded_microdata_income_national_line,GMI_loaded_aggregate,income,INGHOG2D,False,national_line,LINEA,5452.630264961402,PEN_per_person_per_year,person_weighted_mean,3792.339111328125,6710.6396484375,GMI at the national poverty line (different policy threshold z).,2024,False,1.0,1.4999999999999998,34482699.311318874,34217849.99999999,264849.3113188818,0.21501386495562658,0.06361458850096524,0.362,0.1305,11293199006.63808,16939798509.957119,0.015467254054913166,45788423644.07775,0.04180812309312033,-28848625134.120632,-0.026340869038207163,-63.004189352240125,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,Different policy threshold z: retained only to supersede transparently the initial LINEA-based computation; not a like-for-like comparison with the official GMI cost.,True
robustness-gmimicro-per-v2,PER,GMI,GMI_ideal_microdata_expenditure_pip_ppp_8_30_line,GMI_ideal_aggregate,expenditure,GASHOG2D,False,pip_ppp_8_30_line,PIP_PPP_8_30_constant_lcu_annual,6835.9866112358295,PEN_per_person_per_year,constant,6835.9866112358295,6835.9866112358295,Like-for-like threshold used by the official aggregate GMI cost.,2024,False,1.0,1.0,34482699.311318874,34217849.99999999,264849.3113188818,0.43306299906259993,0.14226329353316666,0.362,0.1305,33534768868.04699,33534768868.04699,0.030619655213135626,30525615762.718506,0.02787208206208022,3009153105.3284836,0.0027475731510554074,9.857796575568557,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,"Welfare-concept sensitivity using expenditure at the same PIP threshold z; the official PIP welfare concept is income, so this row is not expected to reproduce its aggregate gap.",True
robustness-gmimicro-per-v2,PER,GMI,GMI_loaded_microdata_expenditure_pip_ppp_8_30_line,GMI_loaded_aggregate,expenditure,GASHOG2D,False,pip_ppp_8_30_line,PIP_PPP_8_30_constant_lcu_annual,6835.9866112358295,PEN_per_person_per_year,constant,6835.9866112358295,6835.9866112358295,Like-for-like threshold used by the official aggregate GMI cost.,2024,False,1.0,1.4999999999999998,34482699.311318874,34217849.99999999,264849.3113188818,0.43306299906259993,0.14226329353316666,0.362,0.1305,33534768868.04699,50302153302.07048,0.04592948281970344,45788423644.07775,0.04180812309312033,4513729657.992729,0.004121359726583111,9.857796575568578,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,"Welfare-concept sensitivity using expenditure at the same PIP threshold z; the official PIP welfare concept is income, so this row is not expected to reproduce its aggregate gap.",True
robustness-gmimicro-per-v2,PER,GMI,GMI_ideal_microdata_expenditure_national_line,GMI_ideal_aggregate,expenditure,GASHOG2D,False,national_line,LINEA,5452.630264961402,PEN_per_person_per_year,person_weighted_mean,3792.339111328125,6710.6396484375,GMI at the national poverty line (different policy threshold z).,2024,False,1.0,1.0,34482699.311318874,34217849.99999999,264849.3113188818,0.2757946816356908,0.07207172926547437,0.362,0.1305,13117570537.993118,13117570537.993118,0.011977285088433862,30525615762.718506,0.02787208206208022,-17408045224.725388,-0.015894796973646357,-57.02766279979896,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,Different policy threshold z: retained only to supersede transparently the initial LINEA-based computation; not a like-for-like comparison with the official GMI cost.,True
robustness-gmimicro-per-v2,PER,GMI,GMI_loaded_microdata_expenditure_national_line,GMI_loaded_aggregate,expenditure,GASHOG2D,False,national_line,LINEA,5452.630264961402,PEN_per_person_per_year,person_weighted_mean,3792.339111328125,6710.6396484375,GMI at the national poverty line (different policy threshold z).,2024,False,1.0,1.4999999999999998,34482699.311318874,34217849.99999999,264849.3113188818,0.2757946816356908,0.07207172926547437,0.362,0.1305,13117570537.993118,19676355806.989674,0.01796592763265079,45788423644.07775,0.04180812309312033,-26112067837.088078,-0.023842195460469538,-57.02766279979896,1095204000000.0,INEI_ENAHO_SUMARIA_2024;PIP;WDI,Different policy threshold z: retained only to supersede transparently the initial LINEA-based computation; not a like-for-like comparison with the official GMI cost.,True
