run_id,extension_id,country_id,policy_id,policy_variant_id,scenario_id,regime_id,baseline_gmi_version,v_baseline,cost_gross_gdp_baseline,crosses_v1_baseline,crosses_v1_10_baseline,debt_guardrail_pass_baseline,baseline_cell_result_class,baseline_country_policy_result_class,historical_tax_class_baseline,historical_tax_borderline_baseline,historical_total_revenue_class_baseline,historical_total_revenue_borderline_baseline,policy_rank_baseline,primary_five_policy_rank_baseline,v_micro,cost_gross_gdp_micro,crosses_v1_micro,crosses_v1_10_micro,debt_guardrail_pass_micro,micro_cell_result_class,micro_country_policy_result_class,historical_tax_class_micro,historical_tax_borderline_micro,historical_total_revenue_class_micro,historical_total_revenue_borderline_micro,policy_rank_micro,primary_five_policy_rank_micro,micro_gmi_version,delta_v,class_changed_flag,country_policy_class_changed_flag,policy_rank_changed_flag,primary_five_policy_rank_changed_flag,crosses_v1_changed_flag,crosses_v1_10_changed_flag,debt_guardrail_changed_flag,run_type,extension_type,parameter_set_id,baseline_parameter_set_id,baseline_dataset_version,extension_input_snapshot_id
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,low,r0,GMI_ideal_aggregate,-2.245607572267461,0.0014636228592727,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-2.236958845280816,0.0014692816466697386,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_primary_total_corrected_income,0.008648726986645094,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r0,GMI_loaded_aggregate,-1.497071714844974,0.0021954342889091,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,-1.491305896853877,0.0022039224700046082,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_primary_total_corrected_income,0.005765817991096878,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,low,r1,GMI_ideal_aggregate,-2.1997699950107408,0.0014636228592727,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-2.1912978067463187,0.0014692816466697386,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_primary_total_corrected_income,0.008472188264422087,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r1,GMI_loaded_aggregate,-1.4665133300071609,0.0021954342889091,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,-1.4608652044975456,0.0022039224700046082,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_primary_total_corrected_income,0.005648125509615243,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,low,r2,GMI_ideal_aggregate,-2.187942300942177,0.0014636228592727,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-2.179515665826998,0.0014692816466697386,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_primary_total_corrected_income,0.00842663511517916,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r2,GMI_loaded_aggregate,-1.4586282006281182,0.0021954342889091,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,-1.4530104438846652,0.0022039224700046082,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_primary_total_corrected_income,0.005617756743452995,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,low,r3,GMI_ideal_aggregate,-2.2431661862078256,0.0014636228592727,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-2.2345268619689085,0.0014692816466697386,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_primary_total_corrected_income,0.008639324238917112,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r3,GMI_loaded_aggregate,-1.4954441241385503,0.0021954342889091,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,-1.4896845746459388,0.0022039224700046082,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_primary_total_corrected_income,0.005759549492611482,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,low,r4,GMI_ideal_aggregate,-2.13018523877835,0.0014636228592727,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-2.1219810490576263,0.0014692816466697386,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_primary_total_corrected_income,0.008204189720723676,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
official_4c_gmimicro_chl_robustness_extension_baseline_official_v3,GMI_MICRODATA_STRONG_CHL_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r4,GMI_loaded_aggregate,-1.4201234925189,0.0021954342889091,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,-1.4146540327050838,0.0022039224700046082,False,False,False,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_primary_total_corrected_income,0.00546945981381608,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-chl-v1,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-chl-v1
