run_id,extension_id,country_id,policy_id,policy_variant_id,scenario_id,regime_id,gmi_version,v_baseline,baseline_cell_result_class,baseline_country_policy_result_class,historical_tax_class_baseline,historical_tax_borderline_baseline,historical_total_revenue_class_baseline,historical_total_revenue_borderline_baseline,policy_rank_baseline,v_lsraw,lsraw_cell_result_class,lsraw_country_policy_result_class,historical_tax_class_lsraw,historical_tax_borderline_lsraw,historical_total_revenue_class_lsraw,historical_total_revenue_borderline_lsraw,policy_rank_lsraw,delta_v,class_changed_flag,country_policy_class_changed_flag,policy_rank_changed_flag,run_type,extension_type,parameter_set_id,baseline_parameter_set_id,baseline_dataset_version,extension_input_snapshot_id
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,mid,r0,GMI_ideal_aggregate,-0.6119963968804701,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.6260611995121474,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.014064802631677309,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,mid,r1,GMI_ideal_aggregate,-0.4880241400695869,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.504019222622038,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.015995082552451134,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,mid,r2,GMI_ideal_aggregate,-0.3970568092537489,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.4136871731837798,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.016630363930030867,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,mid,r3,GMI_ideal_aggregate,-0.6486323704215634,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.663120760278517,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.014488389856953554,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,mid,r4,GMI_ideal_aggregate,-0.1320957354920681,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.14997150328845602,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,6,-0.017875767796387915,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,stress,r0,GMI_ideal_aggregate,3.901937871138183,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,3.8637402244362273,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,-0.0381976467019558,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,stress,r1,GMI_ideal_aggregate,4.239349420616151,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,4.1943347014031405,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,-0.045014719213010146,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,stress,r2,GMI_ideal_aggregate,4.550059741080454,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,4.50324163605717,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,-0.04681810502328432,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,stress,r3,GMI_ideal_aggregate,4.015460658881374,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,3.9748162113286645,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,-0.040644447552709906,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_ideal_aggregate,stress,r4,GMI_ideal_aggregate,5.799668762204835,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,5.749312636124301,feasible_cell,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,1,-0.050356126080533414,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,high,r0,GMI_loaded_aggregate,-0.587277238213664,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.5936786992598275,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.00640146104616357,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,high,r1,GMI_loaded_aggregate,-0.5133831137010869,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.5208975545032217,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.007514440802134814,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,high,r2,GMI_loaded_aggregate,-0.4613455960877369,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.46915454087100134,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.007808944783264438,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
