parameter_set_id,baseline_parameter_set_id,country_id,name,baseline_value_official,robustness_value,delta,source_year,target_year,carried_forward_to_2024,source_id,source_endpoint,robustness_flag
robustness-gmimicro-chl-v1,baseline-official-v3,CHL,policy_cost_gross_gdp_GMI_ideal_aggregate,0.0014636228592727473,0.0014692816466697386,5.658787396991324e-06,2024,2024,False,MDSF_CASEN_2024;PIP;WDI,https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/casen_2024.sav,True
robustness-gmimicro-chl-v1,baseline-official-v3,CHL,policy_cost_gross_gdp_GMI_loaded_aggregate,0.002195434288909121,0.0022039224700046082,8.488181095487202e-06,2024,2024,False,MDSF_CASEN_2024;PIP;WDI,https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/casen_2024.sav,True
