parameter_set_id,baseline_parameter_set_id,country_id,name,baseline_value_official,robustness_value,delta,source_year,target_year,carried_forward_to_2024,source_id,source_endpoint,robustness_flag
robustness-gmimicro-per-v1,baseline-official-v3,PER,policy_cost_gross_gdp_GMI_ideal_aggregate,0.02787208206208022,0.010311502703275445,-0.017560579358804774,2024,2024,False,INEI_ENAHO_SUMARIA_2024,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/966-Modulo34.zip,True
robustness-gmimicro-per-v1,baseline-official-v3,PER,policy_cost_gross_gdp_GMI_loaded_aggregate,0.04180812309312033,0.015467254054913166,-0.026340869038207163,2024,2024,False,INEI_ENAHO_SUMARIA_2024,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/966-Modulo34.zip,True
