run_id,country_id,policy_variant_id,scenario_id,regime_id,parameter_name,parameter_country_id,parameter_scenario_id,parameter_policy_id,parameter_regime_id,spearman_rho_with_v_gross,abs_spearman_rho,parameter_p10,parameter_p90,v_gross_at_parameter_p10_others_central,v_gross_at_parameter_p90_others_central,tornado_abs_range,parameter_set_id,dataset_version,rank_within_cell,extension_id
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,mid,r0,I_adopt_informality,CHL,,,,0.0061982059759282376,0.0061982059759282376,0.25426383174960837,0.29459060417037536,-0.2005978803859696,-0.2005978803859696,0.0,baseline-official-v3,v1.0.1-official-4c,18,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,mid,r0,Gap_excluded_indicators,CHL,,,,0.003088307547532302,0.003088307547532302,0.06362966815059384,0.11438431509878386,-0.2005978803859696,-0.2005978803859696,0.0,baseline-official-v3,v1.0.1-official-4c,19,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,mid,r0,omega_I,CHL,,,,0.002344828701793148,0.002344828701793148,0.37201684780830735,0.6255980000263197,-0.2005978803859696,-0.2005978803859696,0.0,baseline-official-v3,v1.0.1-official-4c,20,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,mid,r0,RST,CHL,,,,-0.0013483276379331055,0.0013483276379331055,0.2472922559576586,0.751571223358716,0.2506560980209835,0.2580000124490043,0.007343914428020792,baseline-official-v3,v1.0.1-official-4c,21,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,phi_raw_stress,,stress,,,0.5433955802318231,0.5433955802318231,0.012476334098722085,0.0176006250274764,4.6736257306647255,7.839426328218405,3.1658005975536794,baseline-official-v3,v1.0.1-official-4c,1,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,q_use_target,CHL,,,,0.47623814212152565,0.47623814212152565,0.11175467645341712,0.15158690065862226,4.935405121558402,7.797058447082407,2.8616533255240055,baseline-official-v3,v1.0.1-official-4c,2,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,E_prod_frontier,,,,,-0.4439091581723663,0.4439091581723663,0.12069628939452977,0.163585990418665,5.861159703427075,3.5725157983848486,2.288643905042226,baseline-official-v3,v1.0.1-official-4c,3,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,E_prod,CHL,,,,0.4419253111810124,0.4419253111810124,0.09472784279378008,0.1247286547279487,5.164976646395895,7.772672076782707,2.607695430386812,baseline-official-v3,v1.0.1-official-4c,4,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,chi_Kbase,CHL,,,,0.11286877229075087,0.11286877229075087,0.6248705357753754,0.7757486717199323,6.197416152449428,6.65150688991609,0.45409073746666184,baseline-official-v3,v1.0.1-official-4c,5,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,psi_shift,CHL,,,,-0.10034659639786385,0.10034659639786385,0.07482357226028323,0.22551273350112164,7.184999037232339,6.5291257501936295,0.6558732870387098,baseline-official-v3,v1.0.1-official-4c,6,OMEGA_I_REPORTING_EXTENSION_2026_07_10
