name,baseline_value,low_value,high_value,unit,support_type,source_id,formula_id,notes
epsilon,1e-09,1e-09,1e-09,share,technical_floor,PLAN_02_SEC_9_3,epsilon floor for tilde_x=epsilon+(1-epsilon)x and de-flooring in inversions,Frozen numerical floor epsilon=1e-9 for support checks and de-flooring; reported explicitly in traces so it is not mistaken for zero.
epsilon_mu,1e-06,1e-06,1e-06,share,technical_floor,PAPER_APP_ADOPTION_MODULE;PLAN_02_SEC_7_3,epsilon_mu floor for q_use_target interior projection and mu inversion,"Frozen logit inversion floor epsilon_mu=1e-6; q_use_target_adj is projected to [epsilon_mu, q_bar-epsilon_mu]."
