run_id,country_id,policy_id,scenario_id,regime_id,endpoint_year,phi_y_nominal,translation_factor,g_ai_level,mfc_gross,mfc_tilde_gross,fs_gross,fs_eff,cost_gross_gdp,cost_net_gdp,v_gross,v_net,xi,crosses_v1,crosses_buffer,debt_guardrail_pass,historical_plausibility_class,cell_result_class,country_policy_result_class
pilot_per_tierA_baseline_pilot_v2,PER,PEN,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0009621084556542712,0.005573845262039806,0.005573845262039806,-0.17261126034599994,-0.17261126034599994,0.0,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PEN,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0009621084556542712,0.005573845262039806,0.005573845262039806,-0.17261126034599994,-0.17261126034599994,0.05,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PEN,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0009621084556542712,0.005573845262039806,0.005573845262039806,-0.17261126034599994,-0.17261126034599994,0.1,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PEN,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0009621084556542712,0.005573845262039806,0.005573845262039806,-0.17261126034599994,-0.17261126034599994,0.25,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PEN,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0009621084556542712,0.005573845262039806,0.005573845262039806,-0.17261126034599994,-0.17261126034599994,0.5,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,GMI,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0035910805123527275,0.04180812064947627,0.04180812064947627,-0.0858943300145139,-0.0858943300145139,0.0,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,GMI,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0035910805123527275,0.04180812064947627,0.04180812064947627,-0.0858943300145139,-0.0858943300145139,0.05,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,GMI,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0035910805123527275,0.04180812064947627,0.04180812064947627,-0.0858943300145139,-0.0858943300145139,0.1,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,GMI,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0035910805123527275,0.04180812064947627,0.04180812064947627,-0.0858943300145139,-0.0858943300145139,0.25,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,GMI,low,r0,2034,0.0004999999999999449,0.08021805984449866,0.0004011627000086726,0.1644724554277886,0.1644724554277886,6.598021429646774e-05,-0.0035910805123527275,0.04180812064947627,0.04180812064947627,-0.0858943300145139,-0.0858943300145139,0.5,False,False,False,fiscally_ordinary,not_feasible,not_feasible
